ISIN,CI_2013
JP3414750004,20.108682311016203
JP3415400005,
JP3419050004,
JP3419400001,14.33069548296226
JP3420600003,4.082690483597339
JP3421100003,89.30636887922094
JP3421800008,
JP3429800000,572.4537636761308
JP3435000009,4.183422626930422
JP3436100006,
JP3436120004,
JP3443600006,7.9528598106774915
JP3449020001,1546.4462979648497
JP3452000007,17.794976311052253
JP3456000003,1.6754284009525962
JP3463000004,
JP3475350009,12.212849820260306
JP3481800005,69.43645308923807
JP3485800001,
JP3486800000,
JP3493400000,
JP3493800001,20.75498790709456
JP3494600004,
JP3496400007,0.07503500381654968
JP3499800005,
JP3500610005,
JP3502200003,0.23520436845731868
JP3505000004,9.574366107673903
JP3511800009,
JP3519400000,
JP3522200009,
JP3526600006,
JP3528600004,0.04308300966346653
JP3535800001,
JP3538800008,
JP3539220008,0.10857180229818672
JP3544000007,127.29489641181597
JP3546800008,
JP3551200003,7599.154637949945
JP3551500006,15.040850157403815
JP3551520004,0.05786019863496524
JP3560800009,
JP3566800003,4.671222159296967
JP3571400005,1.5558012851685632
JP3573000001,
JP3574200006,
JP3579800008,
JP3582600007,1.2744789875523659
JP3585800000,
JP3592200004,12.013458913170686
JP3595200001,987.9906031762662
JP3596200000,31.460584339791723
JP3598600009,
JP3600200004,
JP3605400005,
JP3613000003,
JP3613400005,22.88151961924129
JP3619800000,190.7803174618741
JP3621000003,187.79411518876543
JP3625000009,
JP3626800001,31.539923890262486
JP3629000005,18.1241193299167
JP3633400001,
JP3634600005,11.48580846321351
JP3635000007,
JP3635400009,
JP3638600001,198.09157204721703
JP3657400002,2.5057608502902604
JP3663900003,
JP3665200006,8.067683302305314
JP3670800006,
JP3672400003,8.176861977202416
JP3675600005,
JP3676800000,
JP3678000005,61.48087860819123
JP3684000007,58.31596714893823
JP3686800008,627.6825583336786
JP3688370000,44.425474902427254
JP3695200000,
JP3711200000,
JP3711600001,23.522456497176915
JP3718800000,
JP3720800006,
JP3721400004,
JP3726800000,22.18137304447431
JP3733000008,2.278184243792499
JP3733400000,
JP3734800000,2.344924546793303
JP3735400008,2.0878849224643057
JP3738600000,
JP3742600004,
JP3743000006,25.476697314189956
JP3753000003,
JP3756100008,
JP3756600007,
JP3762600009,0.17626858494552625
JP3762800005,
JP3765400001,
JP3766550002,
JP3768600003,
JP3769000005,1.657130397515808
JP3774200004,
JP3778630008,0.0
JP3783600004,
JP3787000003,4.749318139046107
JP3788600009,9.086316711541375
JP3792600003,
JP3796150005,
JP3799000009,
JP3802300008,
JP3814000000,31.485407180680507
JP3814800003,9.318698956141269
JP3818000006,4.719031783874553
JP3820000002,26.125586243159226
JP3826800009,
JP3827200001,16.16439605257159
JP3830000000,1.9596452228319061
JP3830800003,62.029725339017894
JP3835620000,
JP3837800006,
JP3845400005,
JP3854600008,13.690452442557799
JP3862400003,
JP3866800000,8.275773164249243
JP3868400007,6.482868234561631
JP3870000001,
JP3870400003,3.02691775570711
JP3877600001,0.0028830313095057417
JP3885780001,0.5209177439099847
JP3888300005,255.77932013312497
JP3888400003,152.96623509023232
JP3890310000,0.626589574404727
JP3890350006,0.13857339299016877
JP3892100003,0.4350107749181749
JP3893200000,
JP3893600001,25.87867836527121
JP3894900004,
JP3898400001,
JP3899600005,
JP3899800001,
JP3900000005,5.074177870105436
JP3902400005,8.315770357470692
JP3902900004,0.37365369338331517
JP3903000002,751.882731767003
JP3910660004,0.5103550696134227
JP3914400001,17.492585333970244
JP3933800009,
JP3935600001,
JP3939000000,
JP3940000007,42.49777339592504
JP3942400007,7.615397369506793
JP3942600002,
JP3942800008,14.620592207556378
JP3955000009,
JP3967200001,
JP3973400009,8.674088765950007
JP3977400005,10.926408609698822
JP3982100004,1.3658511158070636
JP3982800009,48.32332680195319
NZAIAE0002S6,6.711821628593924
NZAIRE0001S2,
NZCENE0001S6,1219.003706292474
NZFBUE0001S0,114.87576690066092
NZSKCE0001S2,
NZTELE0001S4,
SG1B51001017,
SG1F60858221,7.6680701667096836
SGXE34184239,19.641435690286958
SG1J26887955,
SG1L01001701,
SG1M51904654,
SG1N31909426,
SG1R50925390,778.847665671851
SG1R89002252,1.0729419350592835
SG1S83002349,
SG1T58930911,
SG1T75931496,
SG1U68934629,51.959358429316765
SG1V61937297,1164.5597140301559
SG2B80958517,
SG9999000020,1.7428997691965447
SG9999003735,
SGXE21576413,1.634446700255682
